month,year,births,date,t,year_idx,month_idx,log_births
1,1966,5633,1966-01-15,1966.0,0,0,8.636397438894713
2,1966,5047,1966-02-15,1966.0833333333333,0,1,8.526549286340263
3,1966,6207,1966-03-15,1966.1666666666667,0,2,8.733432966413652
4,1966,6390,1966-04-15,1966.25,0,3,8.762489547371581
5,1966,6110,1966-05-15,1966.3333333333333,0,4,8.71768205216564
6,1966,5569,1966-06-15,1966.4166666666667,0,5,8.624970783589669
7,1966,5413,1966-07-15,1966.5,0,6,8.596558746796978
8,1966,5342,1966-08-15,1966.5833333333333,0,7,8.583355393669907
9,1966,5734,1966-09-15,1966.6666666666667,0,8,8.654168646443315
10,1966,5525,1966-10-15,1966.75,0,9,8.617038526385954
11,1966,4841,1966-11-15,1966.8333333333333,0,10,8.484876589939695
12,1966,5250,1966-12-15,1966.9166666666667,0,11,8.565983355585669
1,1967,5386,1967-01-15,1967.0,1,0,8.591558273371545
2,1967,5203,1967-02-15,1967.0833333333333,1,1,8.556990661290303
3,1967,5931,1967-03-15,1967.1666666666667,1,2,8.687948111838727
4,1967,6295,1967-04-15,1967.25,1,3,8.747510946478448
5,1967,6088,1967-05-15,1967.3333333333333,1,4,8.714074899541522
6,1967,5577,1967-06-15,1967.4166666666667,1,5,8.626406276389554
7,1967,5521,1967-07-15,1967.5,1,6,8.616314282284044
8,1967,5509,1967-08-15,1967.5833333333333,1,7,8.614138397472717
9,1967,5644,1967-09-15,1967.6666666666667,1,8,8.638348312972704
10,1967,5544,1967-10-15,1967.75,1,9,8.620471540869739
11,1967,4841,1967-11-15,1967.8333333333333,1,10,8.484876589939695
12,1967,5240,1967-12-15,1967.9166666666667,1,11,8.564076777315087
1,1968,5326,1968-01-15,1968.0,2,0,8.580355766373877
2,1968,5203,1968-02-15,1968.0833333333333,2,1,8.556990661290303
3,1968,5951,1968-03-15,1968.1666666666667,2,2,8.691314551644853
4,1968,6327,1968-04-15,1968.25,2,3,8.752581469146884
5,1968,6114,1968-05-15,1968.3333333333333,2,4,8.71833650245078
6,1968,5514,1968-06-15,1968.4166666666667,2,5,8.615045591583742
7,1968,5517,1968-07-15,1968.5,2,6,8.61558951327243
8,1968,5537,1968-08-15,1968.5833333333333,2,7,8.619208116822968
9,1968,5722,1968-09-15,1968.6666666666667,2,8,8.652073673610056
10,1968,5650,1968-10-15,1968.75,2,9,8.639410824140487
11,1968,5081,1968-11-15,1968.8333333333333,2,10,8.533263371593732
12,1968,5408,1968-12-15,1968.9166666666667,2,11,8.5956346177228
1,1969,5659,1969-01-15,1969.0,3,0,8.641002477142523
2,1969,5264,1969-02-15,1969.0833333333333,3,1,8.568646473005153
3,1969,6146,1969-03-15,1969.1666666666667,3,2,8.72355674269043
4,1969,6387,1969-04-15,1969.25,3,3,8.76201995356159
5,1969,6080,1969-05-15,1969.3333333333333,3,4,8.712759974960212
6,1969,5643,1969-06-15,1969.4166666666667,3,5,8.63817111796914
7,1969,5660,1969-07-15,1969.5,3,6,8.641179171197228
8,1969,5517,1969-08-15,1969.5833333333333,3,7,8.61558951327243
9,1969,5710,1969-09-15,1969.6666666666667,3,8,8.649974302650056
10,1969,5508,1969-10-15,1969.75,3,9,8.613956859848546
11,1969,4883,1969-11-15,1969.8333333333333,3,10,8.49351506406166
12,1969,5289,1969-12-15,1969.9166666666667,3,11,8.57338447106598
1,1970,5384,1970-01-15,1970.0,4,0,8.591186871324563
2,1970,4977,1970-02-15,1970.0833333333333,4,1,8.512582578858554
3,1970,5866,1970-03-15,1970.1666666666667,4,2,8.676928249537397
4,1970,6150,1970-04-15,1970.25,4,3,8.724207360800564
5,1970,5617,1970-05-15,1970.3333333333333,4,4,8.633552992532433
6,1970,5404,1970-06-15,1970.4166666666667,4,5,8.59489469908009
7,1970,5321,1970-07-15,1970.5,4,6,8.579416534596369
8,1970,5279,1970-08-15,1970.5833333333333,4,7,8.571491964823617
9,1970,5390,1970-09-15,1970.6666666666667,4,8,8.592300663903043
10,1970,4957,1970-10-15,1970.75,4,9,8.508555998020574
11,1970,4837,1970-11-15,1970.8333333333333,4,10,8.484049972822984
12,1970,5369,1970-12-15,1970.9166666666667,4,11,8.58839695042257
1,1971,5374,1971-01-15,1971.0,5,0,8.589327789175437
2,1971,5033,1971-02-15,1971.0833333333333,5,1,8.52377150677636
3,1971,5865,1971-03-15,1971.1666666666667,5,2,8.676757761087575
4,1971,6057,1971-04-15,1971.25,5,3,8.708969906980947
5,1971,6057,1971-05-15,1971.3333333333333,5,4,8.708969906980947
6,1971,5467,1971-06-15,1971.4166666666667,5,5,8.606485298894999
7,1971,5475,1971-07-15,1971.5,5,6,8.607947554684701
8,1971,5388,1971-08-15,1971.5833333333333,5,7,8.591929537530255
